DATE,PW,CAPA,SOLAR_PW,SOLAR_CAPA,WIND_PW,WIND_CAPA,TEMP_MAX,TEMP_MIN,RADIATION,MA1H,MA1D,MACD,20SD,upper_band,lower_band,EMA,logmomentum,IDX,ABS_3COMP,ANGLE_3COMP,ABS_6COMP,ANGLE_6COMP,ABS_9COMP,ANGLE_9COMP,DWT_A,DWT_D
202102041830,893.0,9459.0,0.0,4788.0,893.0,4671.0,100.0,51.0,42.0,805.0,1665.9375,-6.599460587162184,1167.1357229228327,4000.2089458456653,-668.3339458456653,861.6080047702975,6.79346613258001,3316,1975.9150226354502,0.05652680385498845,1569.941736223407,0.027051344877443238,1351.4752430306912,0.023248615451188545,938.0000000000002,4.99999999999996
202102041845,943.0,9459.0,0.0,4788.0,943.0,4671.0,100.0,51.0,42.0,857.0,1654.3125,-5.859555415196155,1166.619061107974,3987.550622215948,-678.9256222159479,915.8693349234326,6.848005274576363,3317,1976.5151332560765,0.05680998239456044,1570.0020779876263,0.027352177923452542,1350.9837352401278,0.023539977594815995,938.0000000000002,-4.99999999999996
202102041900,933.0,9459.0,0.0,4788.0,933.0,4671.0,100.0,51.0,42.0,897.5,1641.2083333333333,-5.112773902181061,1166.0582396427164,3973.3248126187664,-690.9081459520996,927.2897783078109,6.837332814685591,3318,1977.1162091513715,0.05709269337266255,1570.0648626319417,0.02765242315488506,1350.5027704982888,0.023830352475617912,950.0,-13.000000000000025
202102041915,937.0,9459.0,0.0,4788.0,937.0,4671.0,100.0,51.0,42.0,926.5,1626.9583333333333,-4.371376308432218,1165.4694625379057,3957.8972584091443,-703.980591742478,933.763259435937,6.841615476477592,3319,1977.7182479840064,0.05737493543721448,1570.1300946846545,0.027952073400072802,1350.032361066651,0.024119719858464006,950.0,13.000000000000025
202102041930,963.0,9459.0,0.0,4788.0,963.0,4671.0,100.0,51.0,42.0,944.0,1611.5833333333333,-3.6545892345500306,1164.8622108369589,3941.307755007251,-718.1410883405845,953.254419811979,6.8690144506657065,3320,1978.321247409235,0.057656707241750406,1570.1977786564369,0.028251121500584783,1349.572518865034,0.024408059566031665,952.0,-1.9999999999999358
202102041945,950.0,9459.0,0.0,4788.0,950.0,4671.0,100.0,51.0,42.0,945.75,1595.2708333333333,-2.9282451095432407,1164.265574915824,3923.801983164981,-733.2603164983145,951.084806603993,6.855408798609928,3321,1978.925205074918,0.05793800744542325,1570.2679190403496,0.028549560311477935,1349.1232554719418,0.0246953514814571,952.0,1.9999999999999358
202102042000,954.0,9459.0,0.0,4788.0,954.0,4671.0,100.0,51.0,42.0,951.0,1579.0833333333333,-2.207236753287134,1163.69827571872,3906.4798847707734,-748.3132181041067,953.0282688679977,6.859614903654202,3322,1979.530118621551,0.058218834713008615,1570.3405203118675,0.028847382701546402,1348.6845821249267,0.024981575550980142,1038.5000000000002,-34.50000000000004
202102042015,1004.0,9459.0,0.0,4788.0,1004.0,4671.0,100.0,51.0,42.0,967.75,1563.1770833333333,-1.5317858839162,1163.1524654174987,3889.4820141683304,-763.1278475016641,987.0094229559992,6.910750787961936,3323,1980.1359856822962,0.05849918771490828,1570.4155869289023,0.029144581553571428,1348.2565097209736,0.025266711786584746,1038.5000000000002,34.50000000000004
202102042030,1073.0,9459.0,0.0,4788.0,1073.0,4671.0,100.0,51.0,42.0,995.25,1546.6875,-0.9183998529833843,1162.605745963702,3871.898991927404,-778.523991927404,1044.3364743186664,6.977281341630747,3324,1980.7428038830033,0.0587790651271541,1570.4931233318227,0.029441149764570577,1347.8390488168918,0.025550740268633663,1106.5,0.5000000000000041
202102042045,1107.0,9459.0,0.0,4788.0,1107.0,4671.0,100.0,51.0,42.0,1034.5,1529.7604166666667,-0.3363092642796346,1162.0401527357176,3853.840722138102,-794.3198888047684,1086.1121581062223,7.00850518208228,3325,1981.350570842239,0.059058465631411365,1570.5731339434858,0.02973708024604679,1347.4322096297374,0.02583364114849738,1106.5,-0.5000000000000041
202102042100,1106.0,9459.0,0.0,4788.0,1106.0,4671.0,100.0,51.0,42.0,1072.5,1510.9375,0.2451808626744878,1161.4760951954718,3833.8896903909435,-812.0146903909435,1099.3707193687408,7.007600613951853,3326,1981.9592841713184,0.0593373879149823,1570.6556231692591,0.030032365924237428,1347.0360020372448,0.026115394651175496,1123.5,14.499999999999957
202102042115,1138.0,9459.0,0.0,4788.0,1138.0,4671.0,100.0,51.0,42.0,1106.0,1492.8958333333333,0.7972010548223807,1160.915400864805,3814.7266350629434,-828.9349683962766,1125.1235731229135,7.036148493750536,3327,1982.568941474325,0.059615830670809264,1570.7405953970497,0.03032699974036258,1346.6504355782772,0.02639598107791072,1123.5,-14.499999999999957
202102042130,1109.0,9459.0,0.0,4788.0,1109.0,4671.0,100.0,51.0,42.0,1115.0,1474.25,1.373192909340105,1160.3669984064331,3794.9839968128663,-846.4839968128663,1114.3745243743044,7.010311867307229,3328,1983.1795403481458,0.059893792597478006,1570.8280549973338,0.030620974650873704,1346.2755194532997,0.026675380808794894,1024.5,45.50000000000005
202102042145,1070.0,9459.0,0.0,4788.0,1070.0,4671.0,100.0,51.0,42.0,1105.75,1454.5104166666667,1.981845877872729,1159.8576929397223,3774.2258025461115,-865.2049692127778,1084.7915081247681,6.974478911025045,3329,1983.7910783824912,0.06017127239922061,1570.9180063231806,0.030914283627701024,1345.9112625248586,0.02695357430536495,1024.5,-45.50000000000005
202102042200,979.0,9459.0,0.0,4788.0,979.0,4671.0,100.0,51.0,42.0,1074.0,1434.2708333333333,2.668578639927091,1159.4199833360572,3753.1108000054473,-884.5691333387811,1014.2638360415895,6.885509670034818,3330,1984.4035531599293,0.06044826878591847,1571.0104537102932,0.03120691965850162,1345.5576733180915,0.027230542113190606,892.0000000000002,12.000000000000018
202102042215,904.0,9459.0,0.0,4788.0,904.0,4671.0,100.0,51.0,42.0,1015.5,1413.7291666666667,3.419195951307529,1159.0347300820936,3731.798626830854,-904.3402934975204,940.7546120138632,6.805722553416985,3331,1985.01696225591,0.06072478047310494,1571.1054014770286,0.03149887574690644,1345.214760021243,0.027506264864450673,892.0000000000002,-12.000000000000018
202102042230,880.0,9459.0,0.0,4788.0,880.0,4671.0,100.0,51.0,42.0,958.25,1392.3645833333333,4.188908078088161,1158.6686335042211,3709.7018503417758,-924.972683675109,900.2515373379543,6.778784897685177,3332,1985.6313032387918,0.0610008061819683,1571.202853924437,0.03179014491276756,1344.8825304862016,0.02778072328049908,890.0000000000002,-10.000000000000002
202102042245,880.0,9459.0,0.0,4788.0,880.0,4671.0,100.0,51.0,42.0,910.75,1369.28125,4.95666294725288,1158.303857894995,3685.88896578999,-947.3264657899899,886.7505124459848,6.778784897685177,3333,1986.2465736698712,0.06127634463935407,1571.3028153362934,0.032080720192404266,1344.5609922290562,0.028053898174418244,890.0000000000002,10.000000000000002
202102042300,900.0,9459.0,0.0,4788.0,900.0,4671.0,100.0,51.0,42.0,891.0,1346.0208333333333,5.704960280920886,1157.9523404125819,3661.925514158497,-969.8838474918305,895.5835041486616,6.80128303447162,3334,1986.8627711034117,0.061551394577767427,1571.4052899791318,0.032370594638849594,1344.2501524306635,0.028325770453561324,888.5000000000001,9.499999999999996
202102042315,898.0,9459.0,0.0,4788.0,898.0,4671.0,100.0,51.0,42.0,889.5,1322.78125,6.453103048641879,1157.6112577369047,3638.0037654738094,-992.4412654738094,897.1945013828872,6.799055862058796,3335,1987.4798930866677,0.06182595473537573,1571.5102821022801,0.03265976132209599,1343.9500179372344,0.028596321122080517,888.5000000000001,-9.499999999999996
202102042330,879.0,9459.0,0.0,4788.0,879.0,4671.0,100.0,51.0,42.0,889.25,1300.0625,7.215970946404923,1157.3013392779962,3614.6651785559925,-1014.5401785559925,885.0648337942957,6.777646593635117,3336,1988.0979371599153,0.06210002385601054,1571.6177959378992,0.03294821332934048,1343.66059526094,0.028865531283441947,819.0000000000001,-14.000000000000034
202102042345,805.0,9459.0,0.0,4788.0,805.0,4671.0,100.0,51.0,42.0,870.5,1278.0104166666667,8.041671267122638,1157.0530334932985,3592.1164836532635,-1036.0956503199302,831.6882779314319,6.6895992691789665,3337,1988.7169008564779,0.06237360068916971,1571.7278357010132,0.033235943765230085,1343.381890580524,0.029133382142926698,819.0000000000001,14.000000000000034
202102050000,833.0,9459.0,0.0,4788.0,833.0,4671.0,101.0,69.0,62.0,853.75,1256.4479166666667,8.840755549933192,1156.8159510887726,3570.0798188442122,-1057.1839855108785,832.5627593104773,6.723832440821209,3338,1989.336781702757,0.06264668399001944,1571.8404055895571,0.033522945752105536,1343.1139097419427,0.029399855010115553,856.0000000000002,3.999999999999952
202102050015,860.0,9459.0,0.0,4788.0,860.0,4671.0,101.0,69.0,62.0,844.25,1234.4270833333333,9.614164216236759,1156.5753171764852,3547.577717686304,-1078.7235510196372,850.8542531034924,6.755768921984255,3339,1989.9575772182577,0.06291927251939616,1571.955509784407,0.03380921243024615,1342.856658259015,0.02966493130136043,856.0000000000002,-3.999999999999952
202102050030,852.0,9459.0,0.0,4788.0,852.0,4671.0,101.0,69.0,62.0,837.5,1212.40625,10.392602745917884,1156.3658309510456,3525.137911902091,-1100.3254119020912,851.6180843678308,6.7464121285733745,3340,1990.5792849156155,0.06319136504380797,1572.073152449426,0.03409473695811276,1342.6101413140832,0.02992859254223695,809.0000000000001,43.00000000000003
202102050045,852.0,9459.0,0.0,4788.0,852.0,4671.0,101.0,69.0,62.0,849.25,1190.7708333333333,11.16905322732714,1156.1475239675378,3503.0658812684087,-1121.5242146017424,851.8726947892769,6.7464121285733745,3341,1991.2019023006278,0.06346296033543662,1572.193337731502,0.03437951251259093,1342.374363758701,0.030190820369981424,809.0000000000001,-43.00000000000003
202102050100,766.0,9459.0,0.0,4788.0,766.0,4671.0,101.0,69.0,62.0,832.5,1169.09375,12.01882197461623,1155.9894907769835,3481.072731553967,-1142.885231553967,794.6242315964256,6.639875833826536,3342,1991.8254268722794,0.06373405717213879,1572.3160697605902,0.034663532289233676,1342.1493301143248,0.03045159653591097,742.5,-5.500000000000044
202102050115,737.0,9459.0,0.0,4788.0,737.0,4671.0,101.0,69.0,62.0,801.75,1147.71875,12.891813658032788,1155.868643856815,3459.45603771363,-1164.01853771363,756.2080771988085,6.601230118728877,3343,1992.449856122771,0.06400465433744737,1572.4413526497558,0.03494678950250315,1341.9350445730297,0.030710902907823454,742.5,5.500000000000044
202102050130,748.0,9459.0,0.0,4788.0,748.0,4671.0,101.0,69.0,62.0,775.75,1126.875,13.752941285594261,1155.693477675188,3438.261955350376,-1184.511955350376,750.7360257329361,6.616065185132817,3344,1993.0751875375468,0.06427475062057321,1572.5691904952166,0.035229277386012864,1341.7315109982312,0.03096872147238129,736.5000000000001,12.500000000000021
202102050145,749.0,9459.0,0.0,4788.0,749.0,4671.0,101.0,69.0,62.0,750.0,1107.5625,14.61099076860205,1155.450597114041,3418.463694228082,-1203.3386942280822,749.578675244312,6.617402977974478,3345,1993.7014185953237,0.06454434481640554,1572.6995873763888,0.03551098919276742,1341.5387329254308,0.03122503433747269,736.5000000000001,-12.500000000000021
